OBJECTID,District,FREQUENCY,SUM_Population,MEAN_Permanent_roof,MEAN_Permanent_wall,MEAN_Permanent_floor,MEAN_Not_living_in_decent_dwellings
107,Kibuku,41,202033,67.95853659,64.45365854,23.10731707,98.90487805
108,Kumi,83,239268,31.19277108,28.30120482,20.98674699,98.90240964
109,Kween,70,93667,57.74857143,3.072857143,3.671428571,99.74714286
110,Luuka,43,238020,92.46046512,80.99534884,25.86511628,98.45348837
111,Manafwa,81,149544,86.32469136,21.57654321,11.63703704,99.4382716
112,Mayuge,73,473239,82.44246575,58.03287671,26.01643836,98.54383562
113,Mbale,121,488960,95.93057851,36.89586777,25.11900826,96.23636364
114,Namayingo,43,215443,47.95116279,20.23023256,16.43023256,99.54883721
115,Namisindwa,83,204281,88.69156627,18.07590361,11.80481928,99.64096386
116,Namutumba,52,252557,75.71923077,67.69807692,24.65384615,99.14230769
117,Ngora,65,141919,25.82615385,24.75846154,19.11384615,98.94923077
118,Pallisa,52,241919,55.47307692,47.59615385,21.07884615,98.98076923
119,Serere,49,285903,25.56530612,22.35918367,18.14897959,98.73061224
120,Sironko,130,242421,96.21615385,16.57461538,12.09769231,99.10846154
121,Soroti,50,296833,41.258,35.742,33.086,95.296
122,Tororo,88,517080,65.22613636,36.52045455,24.60340909,97.51363636
